,datetime,latitude,longitude,temperature
723668,2021-01-01 13:00:00,38.87,-77.02,2.6
111870,2021-01-01 13:15:00,38.586,-77.711,3.2
624363,2021-01-01 13:15:00,38.527,-77.859,3.2
126234,2021-01-01 13:15:00,38.01,-77.97,2.9
523714,2021-01-01 13:15:00,38.398,-77.456,3.6
714888,2021-01-01 13:15:00,38.267,-77.449,4.0
113021,2021-01-01 13:35:00,38.586,-77.711,3.2
99082,2021-01-01 13:35:00,38.527,-77.859,3.1
958657,2021-01-01 13:35:00,38.267,-77.449,4.0
1121769,2021-01-01 13:35:00,38.398,-77.456,3.6
523812,2021-01-01 13:35:00,38.01,-77.97,2.9
1179221,2021-01-01 13:52:00,38.935,-77.447,1.7
180251,2021-01-01 13:52:00,38.847,-77.035,2.8
522475,2021-01-01 13:55:00,38.01,-77.97,2.9
1354137,2021-01-01 13:55:00,38.527,-77.859,3.2
104985,2021-01-01 13:55:00,38.398,-77.456,3.6
1124554,2021-01-01 13:55:00,38.586,-77.711,3.2
746103,2021-01-01 13:55:00,38.267,-77.449,3.8
799479,2021-01-01 13:56:00,38.717,-77.183,2.8
225872,2021-01-01 13:56:00,38.504,-77.305,3.9
1114726,2021-01-01 13:56:00,38.721,-77.515,2.8
1282029,2021-01-01 14:00:00,38.87,-77.02,2.7
735248,2021-01-01 14:15:00,38.527,-77.859,3.2
722641,2021-01-01 14:15:00,38.01,-77.97,2.8
1127142,2021-01-01 14:15:00,38.586,-77.711,3.5
108052,2021-01-01 14:15:00,38.398,-77.456,3.6
715737,2021-01-01 14:15:00,38.267,-77.449,3.8
111876,2021-01-01 14:35:00,38.586,-77.711,3.5
623917,2021-01-01 14:35:00,38.527,-77.859,3.2
719461,2021-01-01 14:35:00,38.267,-77.449,3.8
1118644,2021-01-01 14:35:00,38.398,-77.456,3.6
963383,2021-01-01 14:35:00,38.01,-77.97,2.8
179954,2021-01-01 14:52:00,38.847,-77.035,2.8
1044796,2021-01-01 14:52:00,38.935,-77.447,2.2
663306,2021-01-01 14:55:00,38.527,-77.859,3.2
513662,2021-01-01 14:55:00,38.267,-77.449,3.7
523414,2021-01-01 14:55:00,38.01,-77.97,2.5
110178,2021-01-01 14:55:00,38.586,-77.711,3.5
107382,2021-01-01 14:55:00,38.398,-77.456,3.6
1112919,2021-01-01 14:56:00,38.717,-77.183,2.8
1260142,2021-01-01 14:56:00,38.721,-77.515,2.8
1024717,2021-01-01 14:56:00,38.504,-77.305,3.9
724350,2021-01-01 15:00:00,38.87,-77.02,2.6
1226409,2021-01-01 15:00:00,38.85,-77.033,2.8
956788,2021-01-01 15:15:00,38.267,-77.449,3.5
1130867,2021-01-01 15:15:00,38.586,-77.711,3.0
732509,2021-01-01 15:15:00,38.527,-77.859,2.7
1124455,2021-01-01 15:15:00,38.398,-77.456,3.1
127180,2021-01-01 15:15:00,38.01,-77.97,2.3
799086,2021-01-01 15:24:00,38.717,-77.183,3.0
598703,2021-01-01 15:35:00,38.398,-77.456,2.7
1355330,2021-01-01 15:35:00,38.527,-77.859,2.7
717106,2021-01-01 15:35:00,38.267,-77.449,3.3
124980,2021-01-01 15:35:00,38.01,-77.97,2.0
603418,2021-01-01 15:35:00,38.586,-77.711,2.8
180707,2021-01-01 15:52:00,38.847,-77.035,3.3
1323564,2021-01-01 15:52:00,38.935,-77.447,2.2
108091,2021-01-01 15:55:00,38.398,-77.456,2.7
1344028,2021-01-01 15:55:00,38.267,-77.449,3.2
1349464,2021-01-01 15:55:00,38.01,-77.97,1.9
1128465,2021-01-01 15:55:00,38.586,-77.711,2.7
98999,2021-01-01 15:55:00,38.527,-77.859,2.5
909358,2021-01-01 15:56:00,38.717,-77.183,2.7
992532,2021-01-01 15:56:00,38.504,-77.305,3.3
274941,2021-01-01 15:56:00,38.721,-77.515,2.2
1074282,2021-01-01 16:00:00,38.87,-77.02,2.8
519821,2021-01-01 16:15:00,38.01,-77.97,1.9
110384,2021-01-01 16:15:00,38.586,-77.711,2.5
106600,2021-01-01 16:15:00,38.398,-77.456,2.5
745530,2021-01-01 16:15:00,38.267,-77.449,3.1
1148224,2021-01-01 16:15:00,38.527,-77.859,2.4
109893,2021-01-01 16:35:00,38.586,-77.711,2.5
103243,2021-01-01 16:35:00,38.398,-77.456,2.5
97933,2021-01-01 16:35:00,38.527,-77.859,2.5
124610,2021-01-01 16:35:00,38.01,-77.97,1.9
716865,2021-01-01 16:35:00,38.267,-77.449,3.0
767053,2021-01-01 16:47:00,38.847,-77.035,2.0
207276,2021-01-01 16:51:00,38.717,-77.183,2.0
1083812,2021-01-01 16:52:00,38.847,-77.035,2.2
1181273,2021-01-01 16:52:00,38.935,-77.447,1.7
734869,2021-01-01 16:55:00,38.527,-77.859,2.5
714598,2021-01-01 16:55:00,38.267,-77.449,3.1
126165,2021-01-01 16:55:00,38.01,-77.97,2.0
1047028,2021-01-01 16:55:00,38.398,-77.456,2.6
601794,2021-01-01 16:55:00,38.586,-77.711,2.6
1255833,2021-01-01 16:56:00,38.717,-77.183,2.1
226302,2021-01-01 16:56:00,38.504,-77.305,3.3
1179849,2021-01-01 16:56:00,38.721,-77.515,2.2
372903,2021-01-01 17:00:00,38.87,-77.02,2.5
522118,2021-01-01 17:15:00,38.398,-77.456,2.6
517937,2021-01-01 17:15:00,38.267,-77.449,3.0
967107,2021-01-01 17:15:00,38.01,-77.97,1.8
101413,2021-01-01 17:15:00,38.527,-77.859,2.5
